application_date,case_count
2017-04-01,1196.0
2017-04-02,605.0
2017-04-03,2058.0
2017-04-04,2268.0
2017-04-05,3945.0
2017-04-06,2379.0
2017-04-07,3590.0
2017-04-08,2297.0
2017-04-09,1435.0
2017-04-10,3166.0
2017-04-11,5649.0
2017-04-12,10249.0
2017-04-13,11691.0
2017-04-14,9619.0
2017-04-15,9780.0
2017-04-16,7154.0
2017-04-17,11112.0
2017-04-18,12793.0
2017-04-19,13714.0
2017-04-20,13734.0
2017-04-21,12247.0
2017-04-22,9941.0
2017-04-23,6552.0
2017-04-24,7557.0
2017-04-25,5872.0
2017-04-26,3930.0
2017-04-27,2812.0
2017-04-28,2737.0
2017-04-29,2209.0
2017-04-30,7353.0
2017-05-01,2826.0
2017-05-02,2127.0
2017-05-03,2001.0
2017-05-04,3158.0
2017-05-05,5181.0
2017-05-06,2441.0
2017-05-07,2078.0
2017-05-08,2122.0
2017-05-09,3015.0
2017-05-10,4612.0
2017-05-11,8199.0
2017-05-12,9897.0
2017-05-13,7556.0
2017-05-14,5343.0
2017-05-15,9984.0
2017-05-16,9812.0
2017-05-17,11274.0
2017-05-18,15509.0
2017-05-19,12552.0
2017-05-20,11435.0
2017-05-21,7516.0
2017-05-22,9894.0
2017-05-23,10240.0
2017-05-24,9222.0
2017-05-25,7931.0
2017-05-26,6428.0
2017-05-27,5192.0
2017-05-28,1717.0
2017-05-29,2682.0
2017-05-30,3128.0
2017-05-31,8781.0
2017-06-01,4248.0
2017-06-02,4568.0
2017-06-03,4914.0
2017-06-04,2208.0
2017-06-05,4625.0
2017-06-06,4451.0
2017-06-07,5942.0
2017-06-08,5992.0
2017-06-09,7015.0
2017-06-10,7352.0
2017-06-11,7003.0
2017-06-12,14160.0
2017-06-13,18603.0
2017-06-14,18437.0
2017-06-15,18877.0
2017-06-16,18503.0
2017-06-17,16691.0
2017-06-18,11415.0
2017-06-19,16539.0
2017-06-20,18508.0
2017-06-21,18518.0
2017-06-22,17488.0
2017-06-23,14547.0
2017-06-24,11533.0
2017-06-25,7411.0
2017-06-26,7502.0
2017-06-27,5087.0
2017-06-28,4685.0
2017-06-29,4190.0
2017-06-30,11723.0
2017-07-01,3884.0
2017-07-02,1348.0
2017-07-03,2932.0
2017-07-04,4657.0
2017-07-05,6186.0
2017-07-06,5154.0
2017-07-07,5817.0
2017-07-08,4885.0
2017-07-09,3939.0
2017-07-10,7611.0
2017-07-11,13913.0
2017-07-12,18429.0
2017-07-13,20964.0
2017-07-14,20984.0
2017-07-15,18787.0
2017-07-16,12334.0
2017-07-17,19848.0
2017-07-18,22435.0
2017-07-19,22949.0
2017-07-20,23713.0
2017-07-21,18718.0
2017-07-22,16245.0
2017-07-23,10469.0
2017-07-24,11339.0
2017-07-25,10750.0
2017-07-26,10179.0
2017-07-27,8156.0
2017-07-28,3913.0
2017-07-29,2626.0
2017-07-30,1479.0
2017-07-31,13481.0
2017-08-01,5376.0
2017-08-02,5794.0
2017-08-03,5794.0
2017-08-04,5174.0
2017-08-05,5293.0
2017-08-06,4055.0
2017-08-07,6444.0
2017-08-08,7301.0
2017-08-09,8994.0
2017-08-10,9704.0
2017-08-11,15546.0
2017-08-12,19528.0
2017-08-13,12690.0
2017-08-14,21527.0
2017-08-15,18311.0
2017-08-16,22531.0
2017-08-17,23940.0
2017-08-18,23450.0
2017-08-19,22449.0
2017-08-20,15882.0
2017-08-21,20215.0
2017-08-22,21602.0
2017-08-23,19701.0
2017-08-24,16569.0
2017-08-25,12539.0
2017-08-26,10929.0
2017-08-27,7601.0
2017-08-28,6996.0
2017-08-29,4241.0
2017-08-30,3620.0
2017-08-31,15827.0
2017-09-01,4372.0
2017-09-02,6249.0
2017-09-03,4469.0
2017-09-04,5647.0
2017-09-05,7478.0
2017-09-06,6894.0
2017-09-07,8867.0
2017-09-08,9872.0
2017-09-09,10344.0
2017-09-10,7627.0
2017-09-11,16428.0
2017-09-12,23570.0
2017-09-13,25602.0
2017-09-14,27406.0
2017-09-15,26005.0
2017-09-16,24989.0
2017-09-17,17805.0
2017-09-18,23244.0
2017-09-19,18147.0
2017-09-20,26920.0
2017-09-21,24759.0
2017-09-22,21223.0
2017-09-23,16141.0
2017-09-24,12816.0
2017-09-25,14127.0
2017-09-26,12850.0
2017-09-27,11068.0
2017-09-28,7852.0
2017-09-29,5353.0
2017-09-30,22070.0
2017-10-01,2253.0
2017-10-02,2567.0
2017-10-03,4799.0
2017-10-04,5547.0
2017-10-05,7237.0
2017-10-06,7928.0
2017-10-07,8060.0
2017-10-08,7505.0
2017-10-09,9987.0
2017-10-10,13074.0
2017-10-11,21918.0
2017-10-12,27994.0
2017-10-13,30566.0
2017-10-14,28451.0
2017-10-15,20995.0
2017-10-16,26603.0
2017-10-17,25391.0
2017-10-18,20350.0
2017-10-19,17338.0
2017-10-20,18119.0
2017-10-21,18302.0
2017-10-22,14995.0
2017-10-23,20053.0
2017-10-24,22045.0
2017-10-25,20117.0
2017-10-26,19078.0
2017-10-27,16941.0
2017-10-28,10626.0
2017-10-29,4197.0
2017-10-30,3834.0
2017-10-31,16444.0
2017-11-01,4424.0
2017-11-02,4098.0
2017-11-03,6523.0
2017-11-04,6494.0
2017-11-05,4180.0
2017-11-06,6534.0
2017-11-07,7739.0
2017-11-08,10162.0
2017-11-09,11697.0
2017-11-10,11841.0
2017-11-11,18917.0
2017-11-12,15230.0
2017-11-13,23553.0
2017-11-14,29568.0
2017-11-15,30779.0
2017-11-16,30169.0
2017-11-17,27192.0
2017-11-18,24853.0
2017-11-19,19908.0
2017-11-20,22020.0
2017-11-21,25528.0
2017-11-22,24004.0
2017-11-23,22214.0
2017-11-24,19028.0
2017-11-25,16425.0
2017-11-26,10465.0
2017-11-27,13267.0
2017-11-28,6997.0
2017-11-29,3478.0
2017-11-30,7255.0
2017-12-01,3176.0
2017-12-02,5054.0
2017-12-03,3718.0
2017-12-04,7519.0
2017-12-05,7702.0
2017-12-06,9028.0
2017-12-07,9901.0
2017-12-08,9395.0
2017-12-09,10243.0
2017-12-10,6721.0
2017-12-11,17610.0
2017-12-12,24971.0
2017-12-13,27737.0
2017-12-14,26661.0
2017-12-15,29279.0
2017-12-16,26632.0
2017-12-17,17422.0
2017-12-18,26404.0
2017-12-19,29257.0
2017-12-20,30388.0
2017-12-21,28239.0
2017-12-22,23993.0
2017-12-23,22844.0
2017-12-24,14124.0
2017-12-25,14596.0
2017-12-26,16180.0
2017-12-27,15310.0
2017-12-28,13957.0
2017-12-29,11440.0
2017-12-30,7560.0
2017-12-31,14897.0
2018-01-01,3501.0
2018-01-02,6575.0
2018-01-03,9736.0
2018-01-04,10543.0
2018-01-05,12238.0
2018-01-06,11754.0
2018-01-07,7813.0
2018-01-08,10387.0
2018-01-09,13478.0
2018-01-10,15806.0
2018-01-11,24394.0
2018-01-12,29082.0
2018-01-13,26043.0
2018-01-14,13141.0
2018-01-15,16704.0
2018-01-16,24070.0
2018-01-17,30205.0
